,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,profit_per
63,248.0,110.0,282.0,103.0,11000.0,124051759.0,42372,21175,2.0,239.0,180000000.0,2016.0,10000.0,6.6,29000,-55948241.0,68.91764388888889
64,284.0,150.0,80.0,82.0,1000.0,291709845.0,286506,1317,5.0,1463.0,180000000.0,2005.0,190.0,6.9,0,111709845.0,162.061025
65,396.0,144.0,0.0,1000.0,34000.0,154985087.0,148379,49684,6.0,622.0,178000000.0,2016.0,13000.0,7.3,54000,-23014913.0,87.07027359550563
66,645.0,152.0,22000.0,11000.0,23000.0,533316061.0,1676169,57802,0.0,4667.0,185000000.0,2008.0,13000.0,9.0,37000,348316061.0,288.2789518918919
67,408.0,96.0,0.0,262.0,1000.0,292979556.0,665575,2635,1.0,704.0,175000000.0,2009.0,848.0,8.3,27000,117979556.0,167.41688914285714
68,219.0,94.0,11.0,459.0,1000.0,198332128.0,114553,2579,2.0,187.0,175000000.0,2009.0,973.0,6.5,0,23332128.0,113.33264457142857
69,486.0,126.0,4000.0,4000.0,21000.0,318298180.0,696338,39252,3.0,1055.0,140000000.0,2008.0,12000.0,7.9,10000,178298180.0,227.35584285714285
70,682.0,126.0,17000.0,1000.0,17000.0,73820094.0,245333,36017,0.0,678.0,170000000.0,2011.0,16000.0,7.5,42000,-96179906.0,43.42358470588235
71,85.0,106.0,188.0,582.0,10000.0,113745408.0,129601,15870,2.0,648.0,170000000.0,1999.0,4000.0,4.8,0,-56254592.0,66.90906352941177
72,264.0,112.0,357.0,595.0,5000.0,102176165.0,117927,9131,2.0,501.0,145000000.0,2008.0,3000.0,5.2,0,-42823835.0,70.46632068965518
73,418.0,123.0,452.0,329.0,10000.0,161087183.0,118992,11287,8.0,971.0,175000000.0,2016.0,336.0,6.9,80000,-13912817.0,92.04981885714287
74,186.0,96.0,293.0,7000.0,87000.0,100289690.0,115099,108016,0.0,257.0,175000000.0,2007.0,11000.0,5.4,2000,-74710310.0,57.30839428571428
75,585.0,113.0,218.0,509.0,10000.0,100189501.0,431620,12652,1.0,741.0,178000000.0,2014.0,854.0,7.9,77000,-77810499.0,56.28623651685394
76,91.0,176.0,58.0,60.0,711.0,88246220.0,144337,1004,0.0,309.0,175000000.0,1995.0,60.0,6.1,0,-86753780.0,50.42641142857143
77,250.0,118.0,208.0,570.0,23000.0,150167630.0,174578,26683,4.0,534.0,175000000.0,2009.0,2000.0,5.8,0,-24832370.0,85.8100742857143
78,536.0,95.0,0.0,384.0,1000.0,356454367.0,345198,2944,1.0,773.0,175000000.0,2015.0,767.0,8.3,118000,181454367.0,203.6882097142857
79,370.0,106.0,4000.0,591.0,19000.0,362645141.0,106072,32921,0.0,398.0,175000000.0,2016.0,13000.0,7.8,65000,187645141.0,207.22579485714286
80,453.0,124.0,4000.0,4000.0,21000.0,312057433.0,522371,48638,4.0,723.0,200000000.0,2010.0,19000.0,7.0,18000,112057433.0,156.0287165
81,416.0,132.0,274.0,11000.0,26000.0,155111815.0,228554,72881,0.0,710.0,170000000.0,2012.0,17000.0,6.1,53000,-14888185.0,91.24224411764705
82,401.0,97.0,171.0,846.0,11000.0,241407328.0,252257,15516,2.0,634.0,180000000.0,2014.0,2000.0,7.0,89000,61407328.0,134.11518222222222
83,521.0,130.0,198.0,884.0,10000.0,208543795.0,317542,14363,0.0,620.0,170000000.0,2014.0,2000.0,7.6,45000,38543795.0,122.6728205882353
85,218.0,128.0,47.0,982.0,18000.0,38297305.0,116994,20965,2.0,324.0,175000000.0,2013.0,1000.0,6.3,35000,-136702695.0,21.884174285714288
86,576.0,136.0,94.0,2000.0,19000.0,259746958.0,496749,36188,1.0,742.0,170000000.0,2014.0,11000.0,7.8,55000,89746958.0,152.79232823529412
87,226.0,93.0,31.0,213.0,4000.0,238371987.0,138661,4628,2.0,173.0,165000000.0,2010.0,225.0,6.4,0,73371987.0,144.4678709090909
88,443.0,130.0,663.0,604.0,2000.0,93417865.0,128306,5046,2.0,497.0,190000000.0,2015.0,638.0,6.5,37000,-96582135.0,49.16729736842105
89,384.0,102.0,38.0,562.0,756.0,222487711.0,279093,2963,0.0,433.0,165000000.0,2014.0,719.0,7.9,41000,57487711.0,134.84103696969697
90,377.0,101.0,66.0,833.0,975.0,189412677.0,272534,4451,1.0,345.0,165000000.0,2012.0,931.0,7.8,40000,24412677.0,114.79556181818182
91,188.0,100.0,0.0,267.0,15000.0,665426.0,120798,16264,0.0,444.0,165000000.0,2004.0,726.0,6.6,10000,-164334574.0,0.4032884848484849
92,286.0,120.0,776.0,535.0,890.0,102315545.0,58137,3233,0.0,520.0,165000000.0,2016.0,812.0,5.5,67000,-62684455.0,62.00942121212121
93,288.0,98.0,255.0,759.0,18000.0,217387997.0,485430,20453,0.0,492.0,165000000.0,2010.0,953.0,8.2,33000,52387997.0,131.7503012121212
94,280.0,109.0,84.0,191.0,648.0,150350192.0,305340,1769,0.0,1676.0,200000000.0,2003.0,284.0,6.4,0,-49649808.0,75.175096
95,653.0,121.0,571.0,3000.0,14000.0,333130696.0,682155,32438,3.0,1097.0,170000000.0,2014.0,14000.0,8.1,96000,163130696.0,195.95923294117648
96,712.0,169.0,22000.0,6000.0,11000.0,187991439.0,928227,31488,1.0,2725.0,165000000.0,2014.0,11000.0,8.6,349000,22991439.0,113.93420545454545
97,642.0,148.0,22000.0,23000.0,29000.0,292568851.0,1468200,81115,0.0,2803.0,160000000.0,2010.0,27000.0,8.8,175000,132568851.0,182.855531875
99,645.0,182.0,0.0,773.0,5000.0,303001229.0,637246,9152,1.3846979865771811,1367.0,180000000.0,2012.0,972.0,7.9,166000,123001229.0,168.3340161111111
100,187.0,106.0,357.0,4000.0,23000.0,144512310.0,272223,45327,2.0,988.0,38000000.0,2001.0,14000.0,6.7,14000,106512310.0,380.29555263157897
101,362.0,166.0,21000.0,919.0,11000.0,127490802.0,459346,13333,2.0,822.0,150000000.0,2008.0,1000.0,7.8,23000,-22509198.0,84.99386799999999
102,500.0,132.0,905.0,1000.0,34000.0,146405371.0,518537,50983,3.0,698.0,160000000.0,2011.0,13000.0,7.8,54000,-13594629.0,91.503356875
103,389.0,137.0,508.0,14000.0,34000.0,281666058.0,166137,81385,1.0,383.0,160000000.0,2015.0,22000.0,6.6,38000,121666058.0,176.04128624999998
104,235.0,109.0,226.0,370.0,12000.0,63143812.0,124185,13388,0.0,238.0,150000000.0,2010.0,418.0,6.1,11000,-86856188.0,42.09587466666667
105,231.0,98.0,249.0,702.0,87000.0,60655503.0,82380,92456,0.0,629.0,160000000.0,2006.0,2000.0,5.6,0,-99344497.0,37.909689375
106,218.0,113.0,33.0,11000.0,40000.0,76846624.0,21352,80806,1.0,131.0,170000000.0,2016.0,25000.0,6.4,30000,-93153376.0,45.203896470588234
107,227.0,93.0,50.0,692.0,3000.0,320706665.0,211971,4705,2.0,326.0,160000000.0,2007.0,795.0,6.1,0,160706665.0,200.441665625
108,275.0,123.0,0.0,648.0,3000.0,46978995.0,111609,5505,0.0,781.0,160000000.0,2016.0,716.0,7.3,89000,-113021005.0,29.361871875000002
109,474.0,126.0,230.0,2000.0,24000.0,89732035.0,188457,38873,2.0,867.0,155000000.0,2015.0,10000.0,6.6,82000,-65267965.0,57.891635483870964
110,228.0,113.0,150.0,59.0,531.0,104383624.0,106446,764,4.0,227.0,155000000.0,2010.0,82.0,6.3,11000,-50616376.0,67.34427354838711
111,191.0,184.0,0.0,691.0,3000.0,198539855.0,254111,5401,0.0,1999.0,140000000.0,2001.0,961.0,6.1,0,58539855.0,141.81418214285713
112,396.0,144.0,0.0,581.0,662.0,318759914.0,513158,2333,0.0,1782.0,150000000.0,2007.0,599.0,7.1,8000,168759914.0,212.50660933333333
113,248.0,206.0,0.0,591.0,12000.0,34293771.0,138863,24598,3.0,1390.0,155000000.0,2004.0,11000.0,5.5,0,-120706229.0,22.125013548387095
114,329.0,138.0,282.0,687.0,21000.0,292000866.0,355137,33433,3.0,1108.0,150000000.0,2007.0,11000.0,7.5,0,142000866.0,194.66724399999998
115,295.0,157.0,179.0,10000.0,21000.0,289994397.0,385670,53413,1.0,1896.0,150000000.0,2005.0,11000.0,7.6,0,139994397.0,193.329598
116,318.0,102.0,532.0,979.0,10000.0,227946274.0,343648,21584,0.0,590.0,150000000.0,2008.0,9000.0,6.4,0,77946274.0,151.96418266666666
117,323.0,104.0,508.0,558.0,10000.0,256386216.0,530870,13076,0.0,1413.0,150000000.0,2007.0,1000.0,7.2,11000,106386216.0,170.924144
118,276.0,115.0,13000.0,588.0,40000.0,206456431.0,320284,57844,3.0,1361.0,150000000.0,2005.0,16000.0,6.7,0,56456431.0,137.63762066666666
119,318.0,111.0,663.0,954.0,1000.0,206435493.0,473887,4764,0.0,626.0,150000000.0,2007.0,1000.0,8.0,10000,56435493.0,137.623662
120,478.0,128.0,22000.0,11000.0,23000.0,205343774.0,980946,59558,0.0,2685.0,150000000.0,2005.0,14000.0,8.3,15000,55343774.0,136.89584933333333
121,167.0,89.0,35.0,436.0,1000.0,179982968.0,146019,3285,0.0,119.0,150000000.0,2008.0,851.0,6.7,0,29982968.0,119.98864533333334
122,185.0,105.0,189.0,1000.0,49000.0,177243721.0,130272,54039,2.0,209.0,150000000.0,2009.0,3000.0,5.9,2000,27243721.0,118.16248066666665
123,350.0,119.0,151.0,2000.0,20000.0,179883016.0,361924,40054,0.0,641.0,150000000.0,2009.0,16000.0,6.7,0,29883016.0,119.92201066666665
124,245.0,129.0,0.0,233.0,309.0,139259759.0,364948,1062,0.0,2121.0,150000000.0,2003.0,269.0,6.7,0,-10740241.0,92.83983933333333
125,406.0,102.0,69.0,490.0,1000.0,400736600.0,421658,2582,0.0,904.0,150000000.0,2013.0,523.0,7.6,58000,250736600.0,267.15773333333334
126,275.0,138.0,0.0,30.0,234.0,281492479.0,421818,534,0.0,2789.0,150000000.0,2003.0,198.0,7.2,0,131492479.0,187.66165266666667
127,486.0,112.0,230.0,12000.0,26000.0,206360018.0,414070,59803,3.0,532.0,170000000.0,2013.0,20000.0,7.1,63000,36360018.0,121.38824588235295
128,739.0,120.0,750.0,943.0,27000.0,153629485.0,552503,40025,0.0,1588.0,150000000.0,2015.0,9000.0,8.1,191000,3629485.0,102.41965666666665
129,298.0,146.0,2000.0,294.0,15000.0,133375846.0,207839,16948,2.0,435.0,150000000.0,2009.0,745.0,6.7,0,-16624154.0,88.91723066666667
130,516.0,115.0,0.0,12000.0,26000.0,181015141.0,536314,60059,1.0,738.0,150000000.0,2011.0,20000.0,7.0,63000,31015141.0,120.67676066666667
131,225.0,96.0,59.0,699.0,17000.0,114053579.0,146766,20007,0.0,178.0,150000000.0,2008.0,759.0,6.9,0,-35946421.0,76.03571933333333
132,145.0,88.0,12.0,182.0,730.0,119420252.0,33042,2217,0.0,90.0,150000000.0,2009.0,607.0,5.1,0,-30579748.0,79.61350133333333
133,310.0,99.0,473.0,502.0,14000.0,83640426.0,152826,16184,0.0,253.0,150000000.0,2012.0,897.0,5.8,19000,-66359574.0,55.760284000000006
134,526.0,113.0,13000.0,16000.0,40000.0,79711678.0,199039,80849,7.0,479.0,100000000.0,2012.0,17000.0,6.2,82000,-20288322.0,79.71167799999999
135,465.0,131.0,188.0,641.0,10000.0,195000874.0,232187,21840,0.0,440.0,150000000.0,2015.0,10000.0,7.4,47000,45000874.0,130.00058266666667
136,357.0,119.0,394.0,162.0,12000.0,61937495.0,89442,13071,0.0,432.0,150000000.0,2010.0,490.0,5.8,0,-88062505.0,41.29166333333333
138,194.0,91.0,58.0,826.0,2000.0,126597121.0,105902,6576,0.0,206.0,150000000.0,2007.0,852.0,6.2,0,-23402879.0,84.39808066666666
139,284.0,90.0,90.0,15.0,11000.0,165230261.0,182718,21015,0.0,209.0,150000000.0,2011.0,10000.0,7.3,20000,15230261.0,110.15350733333334
140,280.0,103.0,0.0,346.0,1000.0,131564731.0,118951,2857,0.0,1382.0,150000000.0,2010.0,756.0,4.2,18000,-18435269.0,87.70982066666667
141,310.0,124.0,14000.0,979.0,22000.0,133382309.0,256695,34817,0.0,871.0,150000000.0,2006.0,10000.0,6.9,0,-16617691.0,88.92153933333333
142,339.0,131.0,776.0,256.0,17000.0,73103784.0,164238,18204,2.0,434.0,150000000.0,2013.0,551.0,6.4,33000,-76896216.0,48.735856
143,132.0,88.0,25.0,433.0,921.0,21379315.0,17590,2652,0.0,112.0,150000000.0,2011.0,562.0,5.4,0,-128620685.0,14.252876666666667
144,135.0,85.0,42.0,586.0,20000.0,64459316.0,85086,35161,0.0,122.0,149000000.0,2006.0,14000.0,6.7,0,-84540684.0,43.26128590604027
145,256.0,111.0,456.0,394.0,20000.0,34964818.0,39956,21393,4.0,186.0,150000000.0,2015.0,548.0,5.8,24000,-115035182.0,23.309878666666666
146,196.0,92.0,50.0,517.0,3000.0,111505642.0,47900,5810,2.0,130.0,145000000.0,2014.0,1000.0,6.9,11000,-33494358.0,76.90044275862068
147,220.0,196.0,249.0,844.0,11000.0,133228348.0,381672,17944,2.0,1694.0,175000000.0,2004.0,5000.0,7.2,0,-41771652.0,76.13048457142857
148,211.0,93.0,35.0,436.0,851.0,216366733.0,119213,2444,0.0,154.0,145000000.0,2012.0,770.0,6.9,17000,71366733.0,149.21843655172412
149,264.0,133.0,93.0,746.0,769.0,160201106.0,169914,2538,0.0,1185.0,142000000.0,2002.0,766.0,6.1,0,18201106.0,112.81768028169014
150,464.0,116.0,176.0,322.0,783.0,118099659.0,69757,2097,4.0,1211.0,144000000.0,2016.0,370.0,5.5,62000,-25900341.0,82.01365208333333
151,167.0,153.0,0.0,537.0,13000.0,201573391.0,322395,26029,0.0,1171.0,140000000.0,1998.0,12000.0,6.6,11000,61573391.0,143.98099357142857
152,208.0,88.0,188.0,826.0,10000.0,190418803.0,270207,14823,2.0,606.0,140000000.0,2002.0,3000.0,6.1,2000,50418803.0,136.0134307142857
153,287.0,115.0,0.0,964.0,18000.0,82161969.0,142440,31523,1.0,505.0,150000000.0,2007.0,12000.0,6.3,3000,-67838031.0,54.774646000000004
154,210.0,95.0,5.0,967.0,24000.0,143523463.0,64322,36095,0.0,145.0,145000000.0,2016.0,11000.0,7.2,24000,-1476537.0,98.98169862068966
155,432.0,133.0,663.0,690.0,10000.0,209364921.0,365104,21768,3.0,512.0,145000000.0,2011.0,10000.0,7.4,35000,64364921.0,144.38960068965517
156,256.0,97.0,52.0,161.0,20000.0,103400692.0,123553,20645,0.0,174.0,145000000.0,2012.0,315.0,7.3,25000,-41599308.0,71.31082206896552
157,135.0,90.0,23.0,233.0,957.0,110332737.0,110788,1997,1.0,258.0,100000000.0,2005.0,550.0,6.1,2000,10332737.0,110.332737
158,190.0,154.0,380.0,445.0,10000.0,111110575.0,317166,11945,1.0,928.0,140000000.0,2003.0,956.0,7.7,0,-28889425.0,79.36469642857142
159,314.0,150.0,0.0,748.0,23000.0,65007045.0,128682,26490,0.0,657.0,140000000.0,2014.0,893.0,6.1,51000,-74992955.0,46.43360357142857
160,518.0,127.0,14000.0,981.0,26000.0,257704099.0,504419,39284,0.0,1559.0,150000000.0,2009.0,12000.0,8.0,19000,107704099.0,171.80273266666666
161,291.0,121.0,0.0,4000.0,24000.0,403706375.0,544665,40484,0.0,2012.0,139000000.0,2002.0,11000.0,7.3,5000,264706375.0,290.43624100719427
162,292.0,102.0,255.0,953.0,18000.0,176997107.0,221128,23378,5.0,343.0,145000000.0,2014.0,3000.0,7.9,46000,31997107.0,122.06697034482758
163,184.0,126.0,295.0,284.0,18000.0,31141074.0,51892,19769,4.0,273.0,140000000.0,2016.0,934.0,5.5,24000,-108858926.0,22.243624285714287
164,145.0,121.0,357.0,653.0,820.0,31704416.0,45455,2705,0.0,388.0,135000000.0,2005.0,780.0,5.0,0,-103295584.0,23.484752592592592
165,451.0,215.0,0.0,413.0,986.0,107503316.0,392474,2530,1.0,1229.0,130000000.0,2009.0,745.0,7.7,18000,-22496684.0,82.69485846153846
166,141.0,127.0,503.0,91.0,5000.0,129734803.0,127497,6171,2.0,287.0,140000000.0,1998.0,808.0,6.6,0,-10265197.0,92.66771642857144
167,267.0,138.0,0.0,258.0,820.0,132122995.0,212106,1814,0.0,1445.0,137000000.0,2003.0,300.0,5.7,0,-4877005.0,96.44014233576642
168,351.0,122.0,209.0,934.0,17000.0,122512052.0,146352,31958,6.0,288.0,130000000.0,2013.0,12000.0,5.8,42000,-7487948.0,94.24004000000001
169,163.0,124.0,42.0,848.0,11000.0,68642452.0,77673,13073,3.0,463.0,130000000.0,2005.0,973.0,6.0,0,-61357548.0,52.801886153846155
170,166.0,106.0,6.0,422.0,12000.0,32131830.0,72259,15015,1.0,788.0,137000000.0,2001.0,2000.0,6.4,0,-104868170.0,23.453890510948906
171,510.0,124.0,394.0,2000.0,11000.0,176636816.0,508818,19761,0.0,679.0,140000000.0,2011.0,3000.0,6.9,46000,36636816.0,126.16915428571428
172,197.0,128.0,150.0,244.0,766.0,126930660.0,157519,2037,2.0,683.0,135000000.0,1999.0,536.0,6.4,2000,-8069340.0,94.02271111111111
173,244.0,138.0,608.0,168.0,613.0,93926386.0,168207,1205,1.0,684.0,150000000.0,2003.0,172.0,7.4,0,-56073614.0,62.617590666666665
174,322.0,115.0,386.0,12000.0,21000.0,292298923.0,185394,59177,3.0,329.0,120000000.0,2012.0,17000.0,5.5,65000,172298923.0,243.58243583333334
175,156.0,100.0,750.0,988.0,49000.0,63992328.0,32399,62644,0.0,79.0,135000000.0,2011.0,11000.0,5.9,0,-71007672.0,47.40172444444444
176,354.0,135.0,255.0,882.0,3000.0,134518390.0,326286,5811,0.0,643.0,150000000.0,2008.0,1000.0,6.8,0,-15481610.0,89.67892666666667
