,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,movie_facebook_likes,profit,profit_per
23,500.0,132.0,905.0,1000.0,34000.0,146405371.0,518537,50983,3.0,698.0,160000000.0,2011.0,13000.0,54000,-13594629.0,91.503356875
24,218.0,113.0,33.0,11000.0,40000.0,76846624.0,21352,80806,1.0,131.0,170000000.0,2016.0,25000.0,30000,-93153376.0,45.20389647058825
25,228.0,113.0,150.0,59.0,531.0,104383624.0,106446,764,4.0,227.0,155000000.0,2010.0,82.0,11000,-50616376.0,67.34427354838711
26,329.0,138.0,282.0,687.0,21000.0,292000866.0,355137,33433,3.0,1108.0,150000000.0,2007.0,11000.0,0,142000866.0,194.667244
27,276.0,115.0,13000.0,588.0,40000.0,206456431.0,320284,57844,3.0,1361.0,150000000.0,2005.0,16000.0,0,56456431.0,137.63762066666666
28,185.0,105.0,189.0,1000.0,49000.0,177243721.0,130272,54039,2.0,209.0,150000000.0,2009.0,3000.0,2000,27243721.0,118.16248066666664
29,275.0,138.0,0.0,30.0,234.0,281492479.0,421818,534,0.0,2789.0,150000000.0,2003.0,198.0,0,131492479.0,187.66165266666667
30,516.0,115.0,0.0,12000.0,26000.0,181015141.0,536314,60059,1.0,738.0,150000000.0,2011.0,20000.0,63000,31015141.0,120.67676066666668
31,526.0,113.0,13000.0,16000.0,40000.0,79711678.0,199039,80849,7.0,479.0,100000000.0,2012.0,17000.0,82000,-20288322.0,79.71167799999998
32,284.0,90.0,90.0,15.0,11000.0,165230261.0,182718,21015,0.0,209.0,150000000.0,2011.0,10000.0,20000,15230261.0,110.15350733333334
33,132.0,88.0,25.0,433.0,921.0,21379315.0,17590,2652,0.0,112.0,150000000.0,2011.0,562.0,0,-128620685.0,14.252876666666667
34,220.0,196.0,249.0,844.0,11000.0,133228348.0,381672,17944,2.0,1694.0,175000000.0,2004.0,5000.0,0,-41771652.0,76.13048457142857
35,167.0,153.0,0.0,537.0,13000.0,201573391.0,322395,26029,0.0,1171.0,140000000.0,1998.0,12000.0,11000,61573391.0,143.98099357142857
36,432.0,133.0,663.0,690.0,10000.0,209364921.0,365104,21768,3.0,512.0,145000000.0,2011.0,10000.0,35000,64364921.0,144.38960068965514
37,314.0,150.0,0.0,748.0,23000.0,65007045.0,128682,26490,0.0,657.0,140000000.0,2014.0,893.0,51000,-74992955.0,46.43360357142856
38,184.0,126.0,295.0,284.0,18000.0,31141074.0,51892,19769,4.0,273.0,140000000.0,2016.0,934.0,24000,-108858926.0,22.243624285714287
39,267.0,138.0,0.0,258.0,820.0,132122995.0,212106,1814,0.0,1445.0,137000000.0,2003.0,300.0,0,-4877005.0,96.44014233576642
40,510.0,124.0,394.0,2000.0,11000.0,176636816.0,508818,19761,0.0,679.0,140000000.0,2011.0,3000.0,46000,36636816.0,126.16915428571428
41,156.0,100.0,750.0,988.0,49000.0,63992328.0,32399,62644,0.0,79.0,135000000.0,2011.0,11000.0,0,-71007672.0,47.40172444444444
42,166.0,96.0,13.0,463.0,16000.0,83024900.0,62424,17416,0.0,90.0,135000000.0,2013.0,881.0,13000,-51975100.0,61.49992592592592
43,266.0,92.0,54.0,562.0,11000.0,215395021.0,307029,12754,0.0,360.0,130000000.0,2008.0,967.0,6000,85395021.0,165.68847769230769
44,401.0,116.0,14000.0,807.0,10000.0,234277056.0,334345,12758,0.0,2741.0,132000000.0,2005.0,1000.0,0,102277056.0,177.4826181818182
45,434.0,138.0,0.0,8000.0,12000.0,101160529.0,200022,32355,2.0,1240.0,125000000.0,2014.0,9000.0,71000,-23839471.0,80.92842320000001
46,349.0,100.0,0.0,894.0,10000.0,60522097.0,158720,14168,0.0,744.0,130000000.0,2013.0,943.0,37000,-69477903.0,46.55545923076922
47,258.0,159.0,0.0,645.0,11000.0,317557891.0,444683,13191,4.0,1571.0,125000000.0,2001.0,687.0,16000,192557891.0,254.0463128
48,294.0,174.0,2000.0,362.0,15000.0,217536138.0,314253,16008,2.0,1966.0,125000000.0,2006.0,574.0,0,92536138.0,174.0289104
49,382.0,129.0,0.0,154.0,21000.0,186830669.0,338635,22403,2.0,412.0,125000000.0,2011.0,979.0,39000,61830669.0,149.4645352
50,436.0,135.0,209.0,602.0,10000.0,113165635.0,229823,12175,0.0,504.0,125000000.0,2012.0,826.0,31000,-11834365.0,90.53250799999999
51,237.0,123.0,610.0,653.0,10000.0,215397307.0,242188,11930,0.0,1426.0,125000000.0,2000.0,794.0,0,90397307.0,172.3178456
52,276.0,123.0,160.0,402.0,12000.0,115802596.0,182661,14017,1.0,681.0,110000000.0,2007.0,701.0,0,5802596.0,105.27508727272728
53,71.0,77.0,50.0,537.0,886.0,64736114.0,36471,2682,0.0,69.0,120000000.0,2002.0,799.0,459,-55263886.0,53.94676166666667
54,284.0,135.0,0.0,87.0,690.0,43929341.0,57873,902,0.0,414.0,120000000.0,2008.0,107.0,0,-76070659.0,36.60778416666667
55,359.0,140.0,0.0,4000.0,20000.0,380262555.0,520104,44042,4.0,3286.0,113000000.0,2005.0,16000.0,10000,267262555.0,336.51553539823016
56,320.0,136.0,0.0,1000.0,20000.0,474544677.0,534658,37723,1.0,3597.0,115000000.0,1999.0,14000.0,13000,359544677.0,412.64754521739127
57,348.0,101.0,473.0,429.0,833.0,190871240.0,167085,2690,0.0,491.0,125000000.0,2014.0,809.0,62000,65871240.0,152.696992
58,369.0,100.0,128.0,78.0,596.0,56114221.0,110486,1261,3.0,695.0,120000000.0,2015.0,360.0,41000,-63885779.0,46.76185083333333
59,192.0,142.0,776.0,1000.0,13000.0,113330342.0,207613,19454,1.0,1144.0,110000000.0,2000.0,2000.0,4000,3330342.0,103.02758363636364
60,267.0,170.0,17000.0,827.0,29000.0,102608827.0,264318,34582,0.0,799.0,110000000.0,2004.0,3000.0,0,-7391173.0,93.2807518181818
61,172.0,103.0,67.0,111.0,383.0,142614158.0,66593,692,3.0,153.0,110000000.0,2011.0,113.0,31000,32614158.0,129.64923454545453
62,125.0,105.0,67.0,40.0,681.0,71017784.0,27257,914,3.0,59.0,105000000.0,2013.0,71.0,0,-33982216.0,67.63598476190478
63,297.0,171.0,0.0,857.0,16000.0,313837577.0,1238746,22342,2.0,5060.0,93000000.0,2001.0,5000.0,21000,220837577.0,337.45976021505373
64,225.0,115.0,295.0,466.0,10000.0,144795350.0,387632,12068,1.0,789.0,120000000.0,2004.0,981.0,0,24795350.0,120.66279166666666
65,568.0,151.0,0.0,372.0,13000.0,228430993.0,472488,14831,1.0,1023.0,108000000.0,2015.0,801.0,153000,120430993.0,211.5101787037037
66,265.0,171.0,0.0,695.0,3000.0,187670866.0,982637,6521,0.0,2368.0,103000000.0,2000.0,933.0,21000,84670866.0,182.20472427184467
67,230.0,119.0,13000.0,567.0,1000.0,180011740.0,177725,2776,0.0,1368.0,100000000.0,2001.0,658.0,0,80011740.0,180.01174
68,94.0,141.0,0.0,618.0,2000.0,146282411.0,190439,4528,0.0,351.0,115000000.0,1994.0,1000.0,0,31282411.0,127.20209652173912
69,81.0,115.0,55.0,383.0,1000.0,101228120.0,84424,3454,1.0,131.0,100000000.0,1996.0,773.0,0,1228120.0,101.22811999999999
70,383.0,103.0,165.0,13000.0,26000.0,85017401.0,246803,57881,3.0,474.0,92000000.0,2012.0,13000.0,108000,-6982599.0,92.41021847826087
71,203.0,102.0,77.0,120.0,14000.0,107515297.0,85833,14552,2.0,113.0,100000000.0,2013.0,151.0,17000,7515297.0,107.515297
72,606.0,240.0,17000.0,4000.0,29000.0,116866727.0,780588,46057,3.0,1138.0,100000000.0,2013.0,11000.0,138000,16866727.0,116.866727
73,188.0,101.0,0.0,577.0,2000.0,55673333.0,65785,4286,1.0,160.0,80000000.0,2010.0,653.0,16000,-24326667.0,69.59166624999999
74,167.0,102.0,52.0,526.0,8000.0,49392095.0,52029,10552,1.0,224.0,100000000.0,2009.0,735.0,0,-50607905.0,49.39209500000001
75,289.0,122.0,2000.0,571.0,26000.0,24985612.0,71782,28328,0.0,161.0,100000000.0,2015.0,911.0,27000,-75014388.0,24.985612
76,97.0,110.0,342.0,393.0,623.0,10200000.0,18697,1722,0.0,263.0,10000000.0,1997.0,508.0,578,200000.0,102.0
77,154.0,85.0,9.0,970.0,12000.0,58867694.0,54077,25590,0.0,112.0,100000000.0,2007.0,11000.0,0,-41132306.0,58.86769399999999
78,173.0,126.0,0.0,10000.0,14000.0,63540020.0,343274,39319,2.0,742.0,93000000.0,1997.0,13000.0,18000,-29459980.0,68.32260215053763
79,343.0,105.0,0.0,502.0,2000.0,201148159.0,103737,4671,1.0,322.0,95000000.0,2015.0,520.0,56000,106148159.0,211.7349042105263
80,294.0,172.0,0.0,857.0,16000.0,340478898.0,1100446,23052,1.0,2417.0,94000000.0,2002.0,5000.0,10000,246478898.0,362.21159361702126
81,198.0,92.0,394.0,527.0,693.0,181166115.0,219501,2574,0.0,1236.0,93000000.0,2001.0,595.0,0,88166115.0,194.80227419354839
82,106.0,137.0,102.0,877.0,2000.0,22406362.0,16832,5780,0.0,267.0,107000000.0,2004.0,973.0,701,-84593638.0,20.94052523364486
83,175.0,98.0,188.0,602.0,10000.0,250147615.0,403014,12998,0.0,289.0,90000000.0,1997.0,826.0,0,160147615.0,277.94179444444444
84,185.0,130.0,0.0,568.0,11000.0,155370362.0,98403,12890,0.0,683.0,100000000.0,2000.0,627.0,0,55370362.0,155.370362
85,181.0,94.0,368.0,466.0,13000.0,125305545.0,145350,15419,0.0,643.0,92000000.0,2000.0,1000.0,0,33305545.0,136.2016793478261
86,517.0,158.0,21000.0,585.0,18000.0,102515793.0,330152,20388,1.0,632.0,90000000.0,2011.0,1000.0,54000,12515793.0,113.90643666666666
87,70.0,92.0,12.0,1000.0,35000.0,85884815.0,9418,38450,0.0,53.0,90000000.0,2015.0,1000.0,0,-4115185.0,95.42757222222221
88,281.0,146.0,14000.0,681.0,3000.0,78616689.0,238747,6217,0.0,2153.0,100000000.0,2001.0,882.0,11000,-21383311.0,78.61668900000001
89,227.0,128.0,521.0,249.0,591.0,72515360.0,86152,2100,1.0,411.0,80000000.0,2005.0,249.0,0,-7484640.0,90.6442
90,64.0,116.0,176.0,84.0,192.0,61355436.0,52136,475,0.0,184.0,68000000.0,1997.0,117.0,0,-6644564.0,90.22858235294115
91,93.0,132.0,0.0,957.0,49000.0,58220776.0,87785,55254,0.0,362.0,100000000.0,1999.0,1000.0,0,-41779224.0,58.220776
92,166.0,129.0,468.0,183.0,919.0,37567440.0,113065,2024,0.0,337.0,20000000.0,1982.0,691.0,0,17567440.0,187.8372
93,114.0,113.0,101.0,848.0,22000.0,241688385.0,144053,26239,0.0,395.0,92000000.0,1996.0,946.0,0,149688385.0,262.70476630434786
94,142.0,124.0,249.0,936.0,11000.0,172620724.0,146134,23603,1.0,393.0,85000000.0,1997.0,10000.0,0,87620724.0,203.08320470588242
95,222.0,107.0,36.0,118.0,283.0,127706877.0,142496,662,2.0,399.0,85000000.0,2007.0,142.0,0,42706877.0,150.2433847058823
96,157.0,138.0,278.0,213.0,14000.0,63224849.0,182757,17423,3.0,483.0,85000000.0,2006.0,3000.0,19000,-21775151.0,74.38217529411764
97,107.0,83.0,28.0,624.0,4000.0,84303558.0,65270,6081,1.0,100.0,85000000.0,2006.0,650.0,863,-696442.0,99.18065647058823
98,80.0,130.0,323.0,330.0,670.0,50016394.0,106528,2407,1.0,257.0,70000000.0,1993.0,442.0,0,-19983606.0,71.45199142857143
99,98.0,178.0,102.0,551.0,12000.0,44606335.0,169023,23950,0.0,703.0,90000000.0,1998.0,11000.0,10000,-45393665.0,49.56259444444446
100,149.0,135.0,36.0,106.0,894.0,31111260.0,77029,1439,0.0,466.0,60000000.0,2003.0,345.0,0,-28888740.0,51.8521
101,173.0,107.0,153.0,233.0,11000.0,137340146.0,246492,12700,1.0,685.0,70000000.0,2006.0,1000.0,7000,67340146.0,196.20020857142856
102,377.0,162.0,21000.0,495.0,21000.0,33048353.0,301279,36928,0.0,589.0,65000000.0,2007.0,15000.0,12000,-31951647.0,50.84362
103,154.0,110.0,0.0,898.0,10000.0,180965237.0,300542,12760,0.0,378.0,80000000.0,1996.0,1000.0,0,100965237.0,226.20654625
104,166.0,83.0,12.0,925.0,13000.0,155019340.0,127345,22813,1.0,250.0,80000000.0,2006.0,7000.0,0,75019340.0,193.774175
105,134.0,113.0,88.0,421.0,11000.0,158115031.0,130070,13693,11.0,316.0,82000000.0,2005.0,437.0,0,76115031.0,192.8232085365853
106,145.0,128.0,278.0,343.0,18000.0,124590960.0,91092,22679,1.0,402.0,80000000.0,2003.0,4000.0,0,44590960.0,155.7387
107,155.0,138.0,610.0,805.0,12000.0,112225777.0,283967,17087,0.0,535.0,80000000.0,1997.0,1000.0,11000,32225777.0,140.28222125
108,139.0,123.0,165.0,744.0,12000.0,101087161.0,225282,15362,6.0,339.0,75000000.0,1997.0,878.0,0,26087161.0,134.78288133333334
109,53.0,90.0,10.0,159.0,49000.0,92969824.0,63625,50005,1.0,64.0,80000000.0,1997.0,570.0,0,12969824.0,116.21228
110,276.0,104.0,301.0,71.0,18000.0,79363785.0,139423,22194,0.0,698.0,80000000.0,2008.0,4000.0,0,-636215.0,99.20473125
111,143.0,80.0,40.0,375.0,3000.0,100169068.0,16385,4394,0.0,100.0,80000000.0,2010.0,642.0,0,20169068.0,125.211335
112,209.0,129.0,438.0,502.0,18000.0,65948711.0,86422,20056,1.0,363.0,80000000.0,2004.0,1000.0,0,-14051289.0,82.43588875
113,35.0,114.0,31.0,372.0,9000.0,50628009.0,22955,10731,0.0,88.0,90000000.0,1998.0,496.0,0,-39371991.0,56.25334333333334
114,87.0,90.0,65.0,658.0,11000.0,39442871.0,80639,25190,0.0,237.0,80000000.0,2000.0,11000.0,0,-40557129.0,49.30358875
115,162.0,145.0,79.0,183.0,981.0,34566746.0,45231,1825,1.0,315.0,80000000.0,2000.0,274.0,0,-45433254.0,43.2084325
116,101.0,91.0,287.0,695.0,3000.0,20950820.0,24183,5593,4.0,160.0,80000000.0,2003.0,739.0,665,-59049180.0,26.188525
117,61.0,97.0,750.0,231.0,1000.0,18318000.0,24868,2521,0.0,216.0,80000000.0,1998.0,971.0,964,-61682000.0,22.8975
118,113.0,104.0,63.0,7.0,67.0,19406406.0,7630,152,0.0,42.0,40000000.0,2009.0,63.0,0,-20593594.0,48.516015
119,186.0,73.0,28.0,847.0,2000.0,422783777.0,644348,6458,0.0,656.0,45000000.0,1994.0,886.0,17000,377783777.0,939.5195044444445
120,140.0,136.0,394.0,1000.0,24000.0,67286731.0,67856,36925,1.0,345.0,100000000.0,2004.0,10000.0,0,-32713269.0,67.286731
121,232.0,99.0,101.0,327.0,1000.0,15071514.0,65037,2323,2.0,273.0,80000000.0,2007.0,422.0,0,-64928486.0,18.8393925
122,306.0,98.0,275.0,1000.0,7000.0,368049635.0,286877,11905,0.0,284.0,76000000.0,2013.0,2000.0,56000,292049635.0,484.27583552631575
123,372.0,109.0,0.0,18.0,16000.0,35286428.0,361767,16479,0.0,1206.0,76000000.0,2006.0,430.0,17000,-40713572.0,46.42951052631579
124,164.0,115.0,107.0,241.0,835.0,195329763.0,194249,1815,0.0,253.0,80000000.0,2006.0,590.0,0,115329763.0,244.16220375
125,70.0,110.0,16.0,692.0,2000.0,97360069.0,36491,5320,0.0,231.0,75000000.0,1999.0,710.0,509,22360069.0,129.81342533333333
126,107.0,100.0,87.0,446.0,3000.0,73023275.0,16271,5174,4.0,57.0,35000000.0,2009.0,576.0,1000,38023275.0,208.63792857142852
127,241.0,130.0,386.0,525.0,912.0,103338338.0,55901,2856,0.0,503.0,70000000.0,2006.0,549.0,0,33338338.0,147.62619714285714
128,140.0,100.0,126.0,925.0,19000.0,47000485.0,72867,25206,2.0,120.0,75000000.0,2010.0,1000.0,0,-27999515.0,62.66731333333333
129,132.0,123.0,272.0,193.0,13000.0,41523271.0,57038,13934,2.0,261.0,80000000.0,2001.0,450.0,0,-38476729.0,51.90408875
130,152.0,113.0,17.0,759.0,87000.0,34636443.0,93790,103354,0.0,288.0,52000000.0,2005.0,13000.0,0,-17363557.0,66.60854423076923
131,74.0,93.0,253.0,637.0,3000.0,5409517.0,14280,5580,0.0,171.0,75000000.0,2001.0,889.0,683,-69590483.0,7.212689333333333
132,435.0,128.0,0.0,826.0,4000.0,36381716.0,197584,7067,4.0,918.0,82000000.0,2011.0,2000.0,42000,-45618284.0,44.367946341463416
133,176.0,112.0,72.0,715.0,11000.0,70224196.0,59352,13827,0.0,138.0,70000000.0,2008.0,1000.0,0,224196.0,100.32028000000001
134,91.0,87.0,41.0,574.0,1000.0,112950721.0,33884,3287,0.0,79.0,72000000.0,2001.0,692.0,266,40950721.0,156.87600138888888
135,128.0,152.0,0.0,745.0,940.0,27796042.0,45031,4310,1.0,376.0,72000000.0,2001.0,826.0,0,-44203958.0,38.60561388888889
136,73.0,85.0,84.0,595.0,1000.0,144156464.0,74343,4166,0.0,98.0,71500000.0,1998.0,1000.0,694,72656464.0,201.61743216783213
137,103.0,116.0,0.0,995.0,8000.0,152149590.0,74274,12790,2.0,255.0,70000000.0,1999.0,3000.0,0,82149590.0,217.35655714285716
138,486.0,153.0,16000.0,11000.0,13000.0,120523073.0,885175,36741,1.0,1527.0,75000000.0,2009.0,11000.0,42000,45523073.0,160.69743066666666
139,153.0,141.0,488.0,509.0,10000.0,100614858.0,206776,11458,1.0,1248.0,68000000.0,2001.0,834.0,0,32614858.0,147.96302647058823
140,141.0,124.0,130.0,841.0,4000.0,78120196.0,103241,6181,0.0,742.0,75000000.0,2002.0,973.0,5000,3120196.0,104.16026133333334
141,235.0,125.0,13000.0,883.0,12000.0,66257002.0,350698,16138,0.0,816.0,70000000.0,2003.0,1000.0,26000,-3742998.0,94.65286
142,82.0,171.0,0.0,638.0,2000.0,54222000.0,131217,4074,0.0,380.0,69500000.0,1989.0,650.0,0,-15278000.0,78.01726618705034
143,228.0,127.0,905.0,271.0,15000.0,38345403.0,212085,16034,8.0,492.0,70000000.0,2007.0,588.0,15000,-31654597.0,54.77914714285714
144,237.0,113.0,43.0,452.0,12000.0,28031250.0,88146,13517,0.0,814.0,60000000.0,2005.0,585.0,0,-31968750.0,46.71875
145,112.0,125.0,40.0,407.0,13000.0,19076815.0,43651,15916,0.0,196.0,60000000.0,2002.0,787.0,997,-40923185.0,31.79469166666667
146,79.0,97.0,13.0,695.0,11000.0,19819494.0,26893,13628,0.0,126.0,70000000.0,1998.0,893.0,815,-50180506.0,28.313562857142855
147,197.0,106.0,14.0,582.0,11000.0,37760080.0,72868,12871,2.0,618.0,70000000.0,2004.0,1000.0,0,-32239920.0,53.94297142857143
148,176.0,124.0,31.0,497.0,11000.0,118471320.0,86504,12556,0.0,568.0,68000000.0,2002.0,655.0,0,50471320.0,174.22252941176467
149,40.0,105.0,29.0,97.0,584.0,35324232.0,32224,1132,1.0,62.0,68000000.0,1995.0,220.0,617,-32675768.0,51.9474
150,237.0,111.0,101.0,681.0,966.0,45045037.0,103230,3393,3.0,143.0,36000000.0,2011.0,919.0,10000,9045037.0,125.12510277777777
151,138.0,113.0,36.0,232.0,537.0,87704396.0,88132,1302,1.0,274.0,66000000.0,1999.0,427.0,0,21704396.0,132.8854484848485
152,327.0,132.0,76.0,464.0,3000.0,43568507.0,136954,7081,1.0,346.0,66000000.0,2014.0,3000.0,32000,-22431493.0,66.01288939393939
153,538.0,150.0,14000.0,655.0,23000.0,182204440.0,197412,25517,0.0,720.0,65000000.0,2012.0,826.0,71000,117204440.0,280.3145230769231
154,488.0,158.0,0.0,11000.0,20000.0,148775460.0,243834,46204,1.0,845.0,61000000.0,2012.0,13000.0,144000,87775460.0,243.89419672131146
155,307.0,95.0,480.0,490.0,21000.0,100448498.0,272789,23018,3.0,285.0,65000000.0,2010.0,561.0,25000,35448498.0,154.53615076923074
156,72.0,108.0,610.0,461.0,848.0,70450000.0,77390,2913,2.0,189.0,50000000.0,1996.0,517.0,0,20450000.0,140.9
157,313.0,99.0,119.0,174.0,600.0,59617068.0,213863,1375,0.0,310.0,65000000.0,2012.0,346.0,59000,-5382932.0,91.71856615384615
158,241.0,103.0,368.0,520.0,27000.0,54758461.0,147641,29808,3.0,238.0,65000000.0,2012.0,1000.0,18000,-10241539.0,84.24378615384616
159,230.0,111.0,545.0,805.0,26000.0,36064910.0,166610,28643,4.0,211.0,45000000.0,2008.0,872.0,0,-8935090.0,80.14424444444444
160,315.0,151.0,21000.0,637.0,11000.0,37023395.0,1347461,13209,2.0,2968.0,63000000.0,1999.0,783.0,48000,-25976605.0,58.76729365079365
161,308.0,92.0,72.0,568.0,623.0,19059018.0,65709,3165,0.0,194.0,65000000.0,2014.0,593.0,15000,-45940982.0,29.321566153846153
162,96.0,133.0,521.0,970.0,11000.0,31054924.0,17025,16710,1.0,290.0,64000000.0,1999.0,1000.0,295,-32945076.0,48.52331875
163,138.0,94.0,42.0,668.0,12000.0,19548064.0,25681,23365,1.0,77.0,65000000.0,2009.0,9000.0,0,-45451936.0,30.073944615384622
164,68.0,103.0,10.0,7.0,21.0,72413.0,11584,58,3.0,86.0,65000000.0,2015.0,18.0,0,-64927587.0,0.11140461538461538
165,150.0,87.0,12.0,645.0,3000.0,32178777.0,43300,6658,6.0,250.0,62000000.0,2008.0,966.0,0,-29821223.0,51.901253225806464
166,156.0,95.0,25.0,439.0,989.0,108012170.0,24089,2558,0.0,82.0,63000000.0,2011.0,664.0,0,45012170.0,171.44788888888888
167,186.0,189.0,0.0,693.0,15000.0,136801374.0,782610,17716,0.0,1377.0,60000000.0,1999.0,745.0,30000,76801374.0,228.00229
168,137.0,130.0,258.0,345.0,394.0,106635996.0,199025,1784,2.0,416.0,58000000.0,1995.0,387.0,0,48635996.0,183.85516551724137
169,81.0,92.0,41.0,522.0,1000.0,104148781.0,49486,4050,1.0,116.0,60000000.0,2003.0,955.0,886,44148781.0,173.5813016666667
170,118.0,101.0,30.0,268.0,1000.0,93307796.0,85673,2636,2.0,269.0,60000000.0,2002.0,976.0,0,33307796.0,155.51299333333333
171,77.0,94.0,163.0,2000.0,12000.0,82569532.0,42737,20348,6.0,128.0,60000000.0,2005.0,3000.0,781,22569532.0,137.61588666666665
172,315.0,111.0,124.0,357.0,13000.0,90356857.0,238916,24928,4.0,328.0,58000000.0,2010.0,11000.0,32000,32356857.0,155.7876844827586
173,167.0,100.0,55.0,416.0,12000.0,90341670.0,102129,14611,4.0,432.0,60000000.0,2002.0,1000.0,0,30341670.0,150.56945
174,136.0,111.0,197.0,6.0,433.0,71844424.0,33158,679,0.0,223.0,60000000.0,2009.0,208.0,0,11844424.0,119.74070666666668
175,323.0,91.0,0.0,751.0,11000.0,64505912.0,163130,13654,0.0,1264.0,48000000.0,2008.0,946.0,6000,16505912.0,134.38731666666666
176,81.0,94.0,32.0,626.0,854.0,60573641.0,68406,4530,1.0,162.0,60000000.0,1996.0,628.0,0,573641.0,100.95606833333332
177,83.0,124.0,105.0,460.0,24000.0,54910560.0,88225,38227,0.0,227.0,60000000.0,1997.0,13000.0,0,-5089440.0,91.5176
178,81.0,98.0,11.0,107.0,966.0,50189179.0,61966,2018,2.0,207.0,60000000.0,2002.0,680.0,797,-9810821.0,83.64863166666666
179,225.0,99.0,24.0,864.0,18000.0,62401264.0,69484,20276,3.0,323.0,60000000.0,2016.0,992.0,28000,2401264.0,104.00210666666668
180,92.0,104.0,165.0,944.0,1000.0,46611204.0,55749,4294,1.0,257.0,48000000.0,1998.0,967.0,0,-1388796.0,97.106675
181,415.0,113.0,181.0,300.0,33000.0,45996718.0,173530,34738,3.0,264.0,60000000.0,2013.0,301.0,40000,-14003282.0,76.66119666666667
182,49.0,94.0,80.0,230.0,1000.0,36830057.0,10883,2151,2.0,73.0,65000000.0,1999.0,417.0,448,-28169943.0,56.66162615384616
183,161.0,100.0,0.0,210.0,436.0,35096190.0,76560,1395,1.0,322.0,60000000.0,2003.0,399.0,0,-24903810.0,58.49365
